Date,Case ID,Campaign,Classification,Severity,Priority,Risk Score,Confidence,Evidence,IOCs,Assets,Platform,Vendor,Network Zone,Lead Analyst,Status
2026-08-07,BID-2026-7379,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,HIGH,HIGH,65,96,126,73,27,Laboratory Control Network,Microsoft,Evidence Network,BioDefense Task Force,Containment
2026-08-07,BID-2026-2643,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,LOW,ROUTINE,36,82,46,9,2,Medical Research Laboratory,Lenovo,Federal Operations,BioDefense Task Force,Open
2026-08-07,BID-2026-6500,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,MODERATE,ELEVATED,63,86,77,20,8,Clinical Research Environment,Palo Alto Networks,Protected Research Segment,BioDefense Task Force,Containment
2026-08-08,BID-2026-2784,Coordinated Biomedical Systems Intrusion,Biocontainment Network Investigation,HIGH,HIGH,72,89,250,93,22,Biomedical Analysis Cluster,HPE,Evidence Network,National Response Cell,Containment
2026-08-08,BID-2026-3237,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,LOW,ROUTINE,34,84,39,15,3,Laboratory Control Network,Palo Alto Networks,Biosecurity Segment,BioDefense Task Force,Containment
2026-08-09,BID-2026-1692,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,MODERATE,ELEVATED,56,91,115,16,17,Protected Research Network,Red Hat,Evidence Network,Joint Cyber Investigation Unit,Containment
2026-08-09,BID-2026-8790,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,HIGH,HIGH,79,91,114,45,35,Biomedical Analysis Cluster,VMware,Evidence Network,Analyst Team Alpha,Open
2026-08-10,BID-2026-1107,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,HIGH,HIGH,68,90,214,64,13,Medical Research Laboratory,VMware,Secure Laboratory,Analyst Team Bravo,Open
2026-08-10,BID-2026-3273,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,MODERATE,ELEVATED,48,86,73,43,15,Laboratory Control Network,Palo Alto Networks,Biosecurity Segment,Analyst Team Delta,Field Coordination
2026-08-11,BID-2026-6424,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,HIGH,HIGH,67,97,92,66,33,Federal Investigation Network,Microsoft,Federal Operations,BioDefense Task Force,Intelligence Analysis
2026-08-11,BID-2026-7336,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,HIGH,HIGH,72,97,141,94,14,Federal Investigation Network,Microsoft,Federal Operations,National Response Cell,Field Coordination
2026-08-12,BID-2026-6172,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,LOW,ROUTINE,32,88,51,15,5,Medical Research Laboratory,HPE,Evidence Network,Analyst Team Bravo,Open
2026-08-12,BID-2026-8062,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,MODERATE,ELEVATED,51,83,75,23,20,Research Data Repository,Dell,Research Operations,Analyst Team Delta,Intelligence Analysis
2026-08-13,BID-2026-2880,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,HIGH,HIGH,78,93,233,61,24,Genome Sequencing Environment,Red Hat,Protected Research Segment,Analyst Team Alpha,Intelligence Analysis
2026-08-13,BID-2026-5282,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,CRITICAL,CRITICAL,91,90,242,74,26,Clinical Research Environment,VMware,Evidence Network,Analyst Team Bravo,Intelligence Analysis
2026-08-14,BID-2026-4791,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,MODERATE,ELEVATED,59,86,69,25,18,Genome Sequencing Environment,HPE,Evidence Network,Analyst Team Delta,Field Coordination
2026-08-14,BID-2026-6513,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,CRITICAL,CRITICAL,97,95,297,125,42,Evidence Processing Network,HPE,Research Operations,National Response Cell,Evidence Collection
2026-08-15,BID-2026-2801,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,HIGH,HIGH,78,91,138,58,40,Biosecurity Operations Center,Dell,Biosecurity Segment,Analyst Team Delta,Monitoring
2026-08-15,BID-2026-6717,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,HIGH,HIGH,71,94,209,77,24,Clinical Research Environment,VMware,Secure Laboratory,BioDefense Task Force,Containment
2026-08-16,BID-2026-4760,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,MODERATE,ELEVATED,42,87,63,31,15,Protected Research Network,HPE,Research Operations,Analyst Team Delta,Field Coordination
2026-08-16,BID-2026-9730,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,MODERATE,ELEVATED,54,89,50,16,16,Research Data Repository,Dell,Secure Laboratory,BioDefense Task Force,Evidence Collection
2026-08-17,BID-2026-7240,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,MODERATE,ELEVATED,56,84,50,15,19,Genome Sequencing Environment,Lenovo,Containment Network,Analyst Team Bravo,Intelligence Analysis
2026-08-17,BID-2026-1008,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,MODERATE,ELEVATED,43,83,80,44,8,Research Data Repository,Cisco,Federal Operations,Analyst Team Delta,Intelligence Analysis
2026-08-18,BID-2026-9800,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,MODERATE,ELEVATED,64,91,105,36,16,Laboratory Control Network,Cisco,Evidence Network,Analyst Team Bravo,Field Coordination
2026-08-18,BID-2026-8887,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,HIGH,HIGH,78,95,201,52,12,Medical Research Laboratory,Lenovo,Evidence Network,BioDefense Task Force,Monitoring
2026-08-19,BID-2026-5842,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,CRITICAL,CRITICAL,92,92,342,177,41,Biomedical Analysis Cluster,Red Hat,Containment Network,Analyst Team Delta,Containment
2026-08-19,BID-2026-8627,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,MODERATE,ELEVATED,56,89,103,19,16,Genome Sequencing Environment,HPE,Protected Research Segment,Analyst Team Alpha,Containment
2026-08-20,BID-2026-7168,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,CRITICAL,CRITICAL,85,91,293,78,51,Genome Sequencing Environment,Lenovo,Federal Operations,Analyst Team Delta,Open
2026-08-20,BID-2026-2218,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,HIGH,HIGH,80,90,166,37,37,Evidence Processing Network,Red Hat,Federal Operations,Analyst Team Delta,Containment
2026-08-21,BID-2026-5945,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,MODERATE,ELEVATED,42,88,109,10,19,Laboratory Control Network,HPE,Biosecurity Segment,Analyst Team Delta,Evidence Collection
2026-08-21,BID-2026-1480,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,LOW,ROUTINE,30,82,25,10,7,Research Data Repository,Microsoft,Federal Operations,BioDefense Task Force,Field Coordination
2026-08-22,BID-2026-3128,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,MODERATE,ELEVATED,56,95,38,31,12,Laboratory Control Network,Dell,Research Operations,Joint Cyber Investigation Unit,Field Coordination
2026-08-22,BID-2026-1797,Coordinated Biomedical Systems Intrusion,Biocontainment Network Investigation,MODERATE,ELEVATED,56,95,60,25,12,Biomedical Analysis Cluster,Dell,Federal Operations,Analyst Team Alpha,Evidence Collection
2026-08-23,BID-2026-4817,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,MODERATE,ELEVATED,43,86,84,20,8,Medical Research Laboratory,Cisco,Protected Research Segment,Joint Cyber Investigation Unit,Evidence Collection
2026-08-23,BID-2026-9736,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,LOW,ROUTINE,22,86,22,4,7,Genome Sequencing Environment,Palo Alto Networks,Evidence Network,National Response Cell,RESOLVED
2026-09-03,BID-2026-3759,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,HIGH,HIGH,65,98,194,47,33,Federal Investigation Network,HPE,Containment Network,Joint Cyber Investigation Unit,ESCALATED
