date,campaign_id,case_id,operation,classification,threat_family,severity,status,campaign_phase,platform,device,vendor,zone,confidence,risk_score,affected_assets,evidence_count,ioc_count,initial_access,lead_analyst,priority
2026-08-05,BDC-2026-001,BID-2026-1514,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Protected Research Data Exfiltration,MODERATE,Evidence Collection,Operational Recovery,Clinical Research Environment,Medical Device Gateway,Lenovo,Secure Laboratory,93,46,7,37,34,Exposed Remote Service,National Response Cell,ELEVATED
2026-08-05,BDC-2026-001,BID-2026-1207,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Evidence Repository Manipulation,CRITICAL,Intelligence Analysis,Operational Recovery,Research Data Repository,Clinical Data Server,Microsoft,Secure Laboratory,95,89,31,320,109,Supply Chain Compromise,Joint Cyber Investigation Unit,CRITICAL
2026-08-05,BDC-2026-001,BID-2026-5780,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Specimen Tracking Manipulation,LOW,Evidence Collection,Operational Recovery,Evidence Processing Network,Clinical Data Server,Red Hat,Evidence Network,86,36,4,43,8,Third-Party Access,National Response Cell,ROUTINE
2026-08-06,BDC-2026-001,BID-2026-8917,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Research Data Integrity Manipulation,HIGH,Monitoring,Operational Recovery,Genome Sequencing Environment,Laboratory Information Server,Dell,Biosecurity Segment,90,69,18,118,100,Compromised Credentials,Joint Cyber Investigation Unit,HIGH
2026-08-06,BDC-2026-001,BID-2026-3923,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Biomedical Supply Chain Compromise,MODERATE,Open,Operational Recovery,Clinical Research Environment,Access Control Server,Red Hat,Secure Laboratory,86,59,17,87,36,Web Application Exploitation,National Response Cell,ELEVATED
2026-08-06,BDC-2026-001,BID-2026-2460,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,Credential Misuse,LOW,Intelligence Analysis,Operational Recovery,Biosecurity Operations Center,Access Control Server,Fortinet,Secure Laboratory,80,35,8,24,13,Web Application Exploitation,Joint Cyber Investigation Unit,ROUTINE
2026-08-06,BDC-2026-001,BID-2026-6446,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Biocontainment System Tampering,CRITICAL,Evidence Collection,Operational Recovery,Biosecurity Operations Center,Network Security Appliance,Fortinet,Protected Research Segment,93,92,23,407,78,Unauthorized Physical Access,Joint Cyber Investigation Unit,CRITICAL
2026-08-06,BDC-2026-001,BID-2026-1035,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Specimen Tracking Manipulation,LOW,Open,Operational Recovery,Clinical Research Environment,Laboratory Information Server,Cisco,Secure Laboratory,85,30,3,31,18,Insider Misuse,National Response Cell,ROUTINE
2026-08-07,BDC-2026-001,BID-2026-4601,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Biomedical Supply Chain Compromise,LOW,Open,Operational Recovery,Clinical Research Environment,Evidence Repository,Lenovo,Federal Operations,88,25,9,30,5,Supply Chain Compromise,Analyst Team Bravo,ROUTINE
2026-08-07,BDC-2026-001,BID-2026-1158,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Evidence Repository Manipulation,HIGH,Evidence Collection,Operational Recovery,Medical Research Laboratory,Specimen Tracking Terminal,Lenovo,Biosecurity Segment,92,78,11,152,71,Insider Misuse,BioDefense Task Force,HIGH
2026-08-07,BDC-2026-001,BID-2026-6053,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Credential Misuse,LOW,Open,Operational Recovery,Research Data Repository,Biomedical Workstation,Palo Alto Networks,Containment Network,85,39,9,35,16,Third-Party Access,Analyst Team Alpha,ROUTINE
2026-08-07,BDC-2026-001,BID-2026-7379,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Biomedical Supply Chain Compromise,HIGH,Containment,Operational Recovery,Laboratory Control Network,Clinical Data Server,Microsoft,Evidence Network,96,65,27,126,73,Insider Misuse,BioDefense Task Force,HIGH
2026-08-07,BDC-2026-001,BID-2026-2643,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,Research Workstation Compromise,LOW,Open,Operational Recovery,Medical Research Laboratory,Laboratory Information Server,Lenovo,Federal Operations,82,36,2,46,9,Phishing,BioDefense Task Force,ROUTINE
2026-08-07,BDC-2026-001,BID-2026-6500,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Credential Misuse,MODERATE,Containment,Operational Recovery,Clinical Research Environment,Laboratory Information Server,Palo Alto Networks,Protected Research Segment,86,63,8,77,20,Third-Party Access,BioDefense Task Force,ELEVATED
2026-08-08,BDC-2026-001,BID-2026-2784,Coordinated Biomedical Systems Intrusion,Biocontainment Network Investigation,Unauthorized Laboratory Network Access,HIGH,Containment,Operational Recovery,Biomedical Analysis Cluster,Clinical Data Server,HPE,Evidence Network,89,72,22,250,93,Web Application Exploitation,National Response Cell,HIGH
2026-08-08,BDC-2026-001,BID-2026-3237,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Protected Research Data Exfiltration,LOW,Containment,Operational Recovery,Laboratory Control Network,Medical Device Gateway,Palo Alto Networks,Biosecurity Segment,84,34,3,39,15,Supply Chain Compromise,BioDefense Task Force,ROUTINE
2026-08-09,BDC-2026-001,BID-2026-1692,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Access Control Record Manipulation,MODERATE,Containment,Operational Recovery,Protected Research Network,Specimen Tracking Terminal,Red Hat,Evidence Network,91,56,17,115,16,Insider Misuse,Joint Cyber Investigation Unit,ELEVATED
2026-08-09,BDC-2026-001,BID-2026-8790,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Unauthorized Laboratory Network Access,HIGH,Open,Operational Recovery,Biomedical Analysis Cluster,Laboratory Information Server,VMware,Evidence Network,91,79,35,114,45,Compromised Credentials,Analyst Team Alpha,HIGH
2026-08-10,BDC-2026-001,BID-2026-1107,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Biomedical Supply Chain Compromise,HIGH,Open,Operational Recovery,Medical Research Laboratory,Genome Analysis Workstation,VMware,Secure Laboratory,90,68,13,214,64,Unauthorized Physical Access,Analyst Team Bravo,HIGH
2026-08-10,BDC-2026-001,BID-2026-3273,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Medical Device Communications Interference,MODERATE,Field Coordination,Operational Recovery,Laboratory Control Network,Evidence Repository,Palo Alto Networks,Biosecurity Segment,86,48,15,73,43,Unauthorized Physical Access,Analyst Team Delta,ELEVATED
2026-08-11,BDC-2026-001,BID-2026-6424,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Protected Research Data Exfiltration,HIGH,Intelligence Analysis,Operational Recovery,Federal Investigation Network,Genome Analysis Workstation,Microsoft,Federal Operations,97,67,33,92,66,Supply Chain Compromise,BioDefense Task Force,HIGH
2026-08-11,BDC-2026-001,BID-2026-7336,Coordinated Biomedical Systems Intrusion,Cyber-Biothreat Intelligence Review,Access Control Record Manipulation,HIGH,Field Coordination,Operational Recovery,Federal Investigation Network,Network Security Appliance,Microsoft,Federal Operations,97,72,14,141,94,Exposed Remote Service,National Response Cell,HIGH
2026-08-12,BDC-2026-001,BID-2026-6172,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Research Workstation Compromise,LOW,Open,Operational Recovery,Medical Research Laboratory,Laboratory Information Server,HPE,Evidence Network,88,32,5,51,15,Web Application Exploitation,Analyst Team Bravo,ROUTINE
2026-08-12,BDC-2026-001,BID-2026-8062,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Research Data Integrity Manipulation,MODERATE,Intelligence Analysis,Operational Recovery,Research Data Repository,Specimen Tracking Terminal,Dell,Research Operations,83,51,20,75,23,Web Application Exploitation,Analyst Team Delta,ELEVATED
2026-08-13,BDC-2026-001,BID-2026-2880,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Laboratory Information System Compromise,HIGH,Intelligence Analysis,Operational Recovery,Genome Sequencing Environment,Laboratory Information Server,Red Hat,Protected Research Segment,93,78,24,233,61,Web Application Exploitation,Analyst Team Alpha,HIGH
2026-08-13,BDC-2026-001,BID-2026-5282,Coordinated Biomedical Systems Intrusion,Specimen Management Security Review,Credential Misuse,CRITICAL,Intelligence Analysis,Operational Recovery,Clinical Research Environment,Clinical Data Server,VMware,Evidence Network,90,91,26,242,74,Exposed Remote Service,Analyst Team Bravo,CRITICAL
2026-08-14,BDC-2026-001,BID-2026-4791,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Laboratory Information System Compromise,MODERATE,Field Coordination,Operational Recovery,Genome Sequencing Environment,Medical Device Gateway,HPE,Evidence Network,86,59,18,69,25,Web Application Exploitation,Analyst Team Delta,ELEVATED
2026-08-14,BDC-2026-001,BID-2026-6513,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Biocontainment System Tampering,CRITICAL,Evidence Collection,Operational Recovery,Evidence Processing Network,Medical Device Gateway,HPE,Research Operations,95,97,42,297,125,Supply Chain Compromise,National Response Cell,CRITICAL
2026-08-15,BDC-2026-001,BID-2026-2801,Coordinated Biomedical Systems Intrusion,Laboratory Access Control Investigation,Medical Device Communications Interference,HIGH,Monitoring,Operational Recovery,Biosecurity Operations Center,Network Security Appliance,Dell,Biosecurity Segment,91,78,40,138,58,Exposed Remote Service,Analyst Team Delta,HIGH
2026-08-15,BDC-2026-001,BID-2026-6717,Coordinated Biomedical Systems Intrusion,Research Facility Intrusion Investigation,Biocontainment System Tampering,HIGH,Containment,Operational Recovery,Clinical Research Environment,Laboratory Information Server,VMware,Secure Laboratory,94,71,24,209,77,Supply Chain Compromise,BioDefense Task Force,HIGH
2026-08-16,BDC-2026-001,BID-2026-4760,Coordinated Biomedical Systems Intrusion,Unauthorized Research System Access,Biomedical Supply Chain Compromise,MODERATE,Field Coordination,Operational Recovery,Protected Research Network,Clinical Data Server,HPE,Research Operations,87,42,15,63,31,Supply Chain Compromise,Analyst Team Delta,ELEVATED
2026-08-16,BDC-2026-001,BID-2026-9730,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Credential Misuse,MODERATE,Evidence Collection,Operational Recovery,Research Data Repository,Research Database Server,Dell,Secure Laboratory,89,54,16,50,16,Exposed Remote Service,BioDefense Task Force,ELEVATED
2026-08-17,BDC-2026-001,BID-2026-7240,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Evidence Repository Manipulation,MODERATE,Intelligence Analysis,Operational Recovery,Genome Sequencing Environment,Laboratory Information Server,Lenovo,Containment Network,84,56,19,50,15,Exposed Remote Service,Analyst Team Bravo,ELEVATED
2026-08-17,BDC-2026-001,BID-2026-1008,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Protected Research Data Exfiltration,MODERATE,Intelligence Analysis,Operational Recovery,Research Data Repository,Clinical Data Server,Cisco,Federal Operations,83,43,8,80,44,Supply Chain Compromise,Analyst Team Delta,ELEVATED
2026-08-18,BDC-2026-001,BID-2026-9800,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Research Data Integrity Manipulation,MODERATE,Field Coordination,Operational Recovery,Laboratory Control Network,Clinical Data Server,Cisco,Evidence Network,91,64,16,105,36,Phishing,Analyst Team Bravo,ELEVATED
2026-08-18,BDC-2026-001,BID-2026-8887,Coordinated Biomedical Systems Intrusion,Digital Evidence Reconstruction Investigation,Research Workstation Compromise,HIGH,Monitoring,Operational Recovery,Medical Research Laboratory,Specimen Tracking Terminal,Lenovo,Evidence Network,95,78,12,201,52,Phishing,BioDefense Task Force,HIGH
2026-08-19,BDC-2026-001,BID-2026-5842,Coordinated Biomedical Systems Intrusion,Biomedical Infrastructure Investigation,Specimen Tracking Manipulation,CRITICAL,Containment,Operational Recovery,Biomedical Analysis Cluster,Biomedical Workstation,Red Hat,Containment Network,92,92,41,342,177,Supply Chain Compromise,Analyst Team Delta,CRITICAL
2026-08-19,BDC-2026-001,BID-2026-8627,Coordinated Biomedical Systems Intrusion,Biological Research Intelligence Collection,Research Data Integrity Manipulation,MODERATE,Containment,Operational Recovery,Genome Sequencing Environment,Network Security Appliance,HPE,Protected Research Segment,89,56,16,103,19,Web Application Exploitation,Analyst Team Alpha,ELEVATED
2026-08-20,BDC-2026-001,BID-2026-7168,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Credential Misuse,CRITICAL,Open,Operational Recovery,Genome Sequencing Environment,Clinical Data Server,Lenovo,Federal Operations,91,85,51,293,78,Web Application Exploitation,Analyst Team Delta,CRITICAL
2026-08-20,BDC-2026-001,BID-2026-2218,Coordinated Biomedical Systems Intrusion,Supply Chain Security Investigation,Clinical Research Data Manipulation,HIGH,Containment,Operational Recovery,Evidence Processing Network,Specimen Tracking Terminal,Red Hat,Federal Operations,90,80,37,166,37,Phishing,Analyst Team Delta,HIGH
2026-08-21,BDC-2026-001,BID-2026-5945,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Specimen Tracking Manipulation,MODERATE,Evidence Collection,Operational Recovery,Laboratory Control Network,Medical Device Gateway,HPE,Biosecurity Segment,88,42,19,109,10,Exposed Remote Service,Analyst Team Delta,ELEVATED
2026-08-21,BDC-2026-001,BID-2026-1480,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Unauthorized Laboratory Network Access,LOW,Field Coordination,Operational Recovery,Research Data Repository,Clinical Data Server,Microsoft,Federal Operations,82,30,7,25,10,Exposed Remote Service,BioDefense Task Force,ROUTINE
2026-08-22,BDC-2026-001,BID-2026-3128,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Clinical Research Data Manipulation,MODERATE,Field Coordination,Operational Recovery,Laboratory Control Network,Medical Device Gateway,Dell,Research Operations,95,56,12,38,31,Third-Party Access,Joint Cyber Investigation Unit,ELEVATED
2026-08-22,BDC-2026-001,BID-2026-1797,Coordinated Biomedical Systems Intrusion,Biocontainment Network Investigation,Protected Research Data Exfiltration,MODERATE,Evidence Collection,Operational Recovery,Biomedical Analysis Cluster,Access Control Server,Dell,Federal Operations,95,56,12,60,25,Unauthorized Physical Access,Analyst Team Alpha,ELEVATED
2026-08-23,BDC-2026-001,BID-2026-4817,Coordinated Biomedical Systems Intrusion,Research Data Integrity Investigation,Medical Device Communications Interference,MODERATE,Evidence Collection,Operational Recovery,Medical Research Laboratory,Genome Analysis Workstation,Cisco,Protected Research Segment,86,43,8,84,20,Compromised Credentials,Joint Cyber Investigation Unit,ELEVATED
2026-08-23,BDC-2026-001,BID-2026-9736,Coordinated Biomedical Systems Intrusion,Laboratory Security Breach Investigation,Clinical Research Data Manipulation,LOW,RESOLVED,Operational Recovery,Genome Sequencing Environment,Evidence Repository,Palo Alto Networks,Evidence Network,86,22,7,22,4,Third-Party Access,National Response Cell,ROUTINE
2026-09-03,BDC-2026-001,BID-2026-3759,Coordinated Biomedical Systems Intrusion,Medical Device Security Assessment,Medical Device Communications Interference,HIGH,ESCALATED,Operational Recovery,Federal Investigation Network,Genome Analysis Workstation,HPE,Containment Network,98,65,33,194,47,Phishing,Joint Cyber Investigation Unit,HIGH
